|MULTISERVICIOS COLOMBIA A Y P SAS;900625385;Gerencia@multiservicioscolombia.com
3 CREATIVES;900423421;contabilidad@3creatives.com
3 CREATIVES;900423421;lily.diaz@3creatives.com
3M COLOMBIA SA;860002693;dmruedacollazos@mmm.com
95/24 COLOMBIA;900554064;acifuentesr@9524colombia.com
ABASTECEDORA DE FERRETERIAS SAS;900975111;dsaenz@grupotoolcraft.com
ABASTECEDORA DE FERRETERIAS SAS;900975111;cvela@grupotoolcraft.com
ABASTECEDORA DE FERRETERIAS SAS;900975111;cartera.co@grupotoolcraft.com
ABASTECEDORA DE FERRETERIAS SAS;900975111;dvelandia@grupotoolcraft.com
ABASTECEDORA DE FERRETERIAS SAS;900975111;ycristancho@grupotoolcraft.com
ABASTECEDORA DE FERRETERIAS SAS;900975111;jfranco@grupotoolcraft.com
ABCCOMERCIALIZADORAINDUSTRIAL;900085827;abccomerin@hotmail.com
ABRIL JUAN FRANCISCO;94426914;fabriles@hotmail.es
ACEVEDO JUAN DAVID;1130663152;juanjason.ja@gmail.com
AEROVIAS DEL CONTINENTE AMERICANOAVIANCA;890100577;cartera@avianca.com
AGLOMADERAS SAS;830062582;aprendizsena@aglomaderas.com.co
AGROFORESTAL DE COLOMBIA SAS;890318363;agroforestalcali@hotmail.com
ALARMAR LIMITADA;890919267;diana.osorio@alarmar.com.co
ALARMAR LIMITADA;890919267;servicliente.cali@alarmar.com.co
ALBACORA SAS;800161451;calidadalbacora@gmail.com
ALEXANDER MUEBLES;805030790;rimaxalex@gmail.com
ALFAGRES SA;860032550;diana.osorio@alfa.com.co
ALMACEN AUTOCOLOR;16692337;autocolor.ingnieria@yahoo.com
ALMACEN SURTITODO LTDA;890317504;Auxiliar-contabilidad@almacensurtitodo.com.co
ALMACEN SURTITODO LTDA;890317504;comercial11@almacensurtitodo.com.co
ALMACENADORAINTERAMERICANA;805001149;ana.sierra@aintercarga.com
ALMACENADORAINTERAMERICANA;805001149;zenaida.rada@aintercarga.com
ANCLAJES TORRES YEPES Y CIA EN CS;800046630;anclajestorres@gmail.com
APEX TOOL GROUP SAS;890311366;Sandra.Escobar@ApexToolGroup.com
APEX TOOL GROUP SAS;890311366;yuri.moreno@apextoolgroup.com
APLIKA CONTROL CORROSION SAS;900408954;auxventas@aplika.com.co
APLIKA CONTROL CORROSION SAS;900408954;auxiliarcontabilidad1@aplika.com.co
ARCO EQUIPOS INDUSTRIALES SAS;830067378;comercial1@arcoequipos.com
ARCOMAR SAS;900189588;emardosmil@hotmail.com
ARTECMA LTDA;860052160;edgar-monzon@hotmail.com
ASESORIA Y PRODUCTOS EN PREVENCION Y SEGURIDAD;900642766;auxiliarcontable@aspreseg.com
ASESORIA Y PRODUCTOS EN PREVENCION YSEGURIDAD;900642766;niif@aspreseg.com
ASESORIA Y PRODUCTOS EN PREVENCION YSEGURIDAD;900642766;sbmarco@hotmail.com
ASESORIA Y PRODUCTOS EN PREVENCION YSEGURIDAD;900642766;zonaoccidente@aspreseg.com
ASOCIACION TECNICA COMERCIAL E INDUSTRIA;890900240;dmorenog@asteco.com.co
ASSA ABLOY COLOMBIA SAS;860009826;lorena.medina@assaabloy.com
ASSA ABLOY COLOMBIASAS;860009826;natalia.bermudez@assaabloy.com
ATLANTICSOFT SAS;900732607;paola@vendamasfacil.com
ATLANTICSOFT SAS;900732607;natalia@vendamasfacil.com
ATLAS LTDA;890312749;ventas@atlas.com.co
AXXECOL SA;860528410;cali@axxecol.com
BARRIOS DIEZ DAVID;1005934361;compulima_inter@hotmail.com
BECERRA PATIÑO Y CIA LTDA DIMECOL;860008977;dimecol@outlook.com
BELLOTA SA;890807976;servicio.cliente@col.bellota.com
BELLTEC SAS;800151127;contabilidad@belltec.com.co
BENAVIDES MELO SAS;800248701;analista.impuestos@bemel.com.co
BIGLASER LTDA ;805022509;cartera@biglasercali.com
BIGLASER LTDA ;805022509;comercial2@biglasercali.com
BIGLASER LTDA ;805022509;serviciotecnico@biglasercali.com
BLACK Y DECKER DE COLOMBIA SAS;860070698;Lesly.Restrepo@sbdinc.com
BLACK Y DECKER DE COLOMBIA SAS;860070698;alejandro.jimenez@sbdinc.com
BLACK Y DECKER DE COLOMBIA SAS;860070698;Natalia.Laguna@sbdinc.com
BLUECARIBU SAS;900554064;contabilidad@bluecaribu.com
BOCANEGRA ESCOBARJORGE;16700363;jorgebocanegraescobar@hotmail.com
C A MEJIA & CIA SA ;890900223;cali@camejia.com
CAICEDO CESAR TULIO;16257313;produseg2013@gmail.com
CALVACHE PEDRO PABLO;12963889;pepalcasa@hotmail.com
CALZADO TERRANO SAS;900270177;ventas2@calzadoterrano.com
CAPRIS COLOMBIA SAS;900584804;focampo@capris.com.co
CAPRIS COLOMBIA SAS;900584804;lpulido@capris.com.co
CAPRIS COLOMBIA SAS;900584804;nancy.dominguez@capris.com.co
CAPRIS COLOMBIA SAS;900584804;ndominguez@capris.com.co
CARANGEL SAS;830512582;pintomotriz@hotmail.com
CARANGEL SAS;830512582;ventas@proveaire.com
CARANGEL SAS;830512582;german.gonzalez@proveaire.com
CARVAJAL MORENO DARIO RUBEN;16656256;paloty@hotmail.com
CASA FERRETERA SA;890937010;telemercadeo1@casaferretera.com
CASTRO VERGARAHAROLD;16657236;haroldcastrometalicas@yahoo.com
CAVAR SA;860501575;coordinador.adm@cavar.com.co
CAVAR SA;860501575;javier.lozano@cavar.com.co
CCI MARKETPLACE SA;900141314;bbecerra@ccimarketplace.com
CCI MARKETPLACE SA;900141314;cartera@ccimarketplace.com
CCI MARKETPLACE SA;900141314;gmachado@ccimarketplace.com
CEDENO SALAZAR CARLOS HUMBERTO;4295938;carloscedenosalazar.1971@gmail.com
CELLUX COLOMBIANA SA;890406520;cartera2@cellux.com
CELLUX COLOMBIANA SA;890406520;ventas71@cellux.com
CENTRA INGENIERIA Y CONSTRUCCION SAS;900496980;amcastano@centraic.com
CENTRAL DE SOLDADURAS;890110294;asiscarteracali@centraldesoldaduras.com
CENTRAL DESOLDADURAS;890110294;asesor3.cali@centraldesoldaduras.com
CENTRO ACEROS S.A.;800021013;cartera@centroaceros.com
CERTIFICADOS TECNIYALE;800226013;certificados@tecniyale.com
CFG LTDA;805017152;rescatec@hotmail.com
CIEL INGENIERIA SAS;860521236;inavarrete@cielingenieria.com
CLAY SA;805016105;carolina.sanchez@clay.com.co
